File Name,Total Words (Basic),Total Similar Words (Basic),Basic Comparator Accuracy,Total Words (Generous),Total Similar Words (Generous),Generous Comparator Accuracy,Total Words (Dictionary),Total Similar Words (Dictionary),Dictionary Comparator
ova_ah.txt,199,62,31.156%,190,88,46.316%,181,90,49.724%
diplomatic_speeches_001_ah.txt,289,4,1.384%,240,15,6.25%,195,27,13.846%
diplomatic_speeches_002_ah.txt,219,4,1.826%,205,7,3.415%,192,15,7.812%
fpn_001_ah.txt,144,22,15.278%,144,31,21.528%,144,38,26.389%
fpn_002_ah.txt,173,42,24.277%,172,59,34.302%,172,68,39.535%
fpn_003_ah.txt,169,38,22.485%,169,57,33.728%,169,64,37.87%
fpn_004_ah.txt,165,7,4.242%,164,15,9.146%,164,57,34.756%
artofcooking_001_ah.txt,192,22,11.458%,188,33,17.553%,184,55,29.891%
artofcooking_002_ah.txt,211,9,4.265%,204,15,7.353%,197,71,36.041%
sj_001_ah.txt,290,31,10.69%,263,54,20.532%,238,69,28.992%
sj_002_ah.txt,230,6,2.609%,189,13,6.878%,152,23,15.132%
medici_ah.txt,124,0,0.0%,102,0,0.0%,80,59,73.75%
cvpv_001_ah.txt,163,35,21.472%,156,43,27.564%,152,49,32.237%
cvpv_002_ah.txt,70,7,10.0%,66,10,15.152%,62,12,19.355%
cvpv_003_ah.txt,153,12,7.843%,144,28,19.444%,136,30,22.059%
cvpv_004_ah.txt,147,11,7.483%,138,24,17.391%,132,30,22.727%
cvpv_005_ah.txt,147,31,21.088%,139,44,31.655%,132,47,35.606%
cvpv_006_ah.txt,167,17,10.18%,159,35,22.013%,152,44,28.947%
cvpv_007_ah.txt,153,13,8.497%,145,19,13.103%,137,49,35.766%
cvpv_008_ah.txt,33,6,18.182%,27,5,18.519%,22,5,22.727%
lof_001_ah.txt,83,13,15.663%,73,17,23.288%,68,19,27.941%
lof_002_ah.txt,97,15,15.464%,90,21,23.333%,84,22,26.19%
sacredpoems_001_ah.txt,120,18,15.0%,111,23,20.721%,104,29,27.885%
sacredpoems_002_ah.txt,120,9,7.5%,105,16,15.238%,90,26,28.889%
sacredpoems_003_ah.txt,129,38,29.457%,112,37,33.036%,96,40,41.667%
sacredpoems_004_ah.txt,122,2,1.639%,108,8,7.407%,95,28,29.474%
sacredpoems_005_ah.txt,121,20,16.529%,109,21,19.266%,97,27,27.835%
sacredpoems_006_ah.txt,124,11,8.871%,116,21,18.103%,109,24,22.018%
piacenzaparma_001_ah.txt,272,32,11.765%,271,55,20.295%,271,138,50.923%
piacenzaparma_002_ah.txt,289,85,29.412%,287,121,42.16%,285,138,48.421%
petrarch_001_ah.txt,154,11,7.143%,152,13,8.553%,151,24,15.894%
petrarch_002_ah.txt,221,36,16.29%,204,53,25.98%,190,57,30.0%
petrarch_003_ah.txt,244,43,17.623%,231,75,32.468%,223,86,38.565%
philsoul_001_ah.txt,261,9,3.448%,237,24,10.127%,216,39,18.056%
philsoul_002_ah.txt,284,2,0.704%,268,4,1.493%,253,32,12.648%
lutebook_001_ah.txt,159,66,41.509%,154,82,53.247%,149,87,58.389%
lutebook_002_ah.txt,422,12,2.844%,362,25,6.906%,307,136,44.3%
lutebook_003_ah.txt,399,41,10.276%,342,89,26.023%,289,123,42.561%
113r_ah.txt,235,0,0.0%,235,0,0.0%,235,33,14.043%
113v_ah.txt,212,0,0.0%,212,0,0.0%,212,28,13.208%
114r_ah.txt,249,0,0.0%,249,0,0.0%,249,44,17.671%
114v_ah.txt,120,1,0.833%,120,1,0.833%,120,13,10.833%
ethics_001_ah.txt,155,13,8.387%,152,24,15.789%,149,38,25.503%
ethics_002_ah.txt,142,12,8.451%,126,27,21.429%,111,35,31.532%
loredano_001_ah.txt,187,37,19.786%,165,53,32.121%,144,59,40.972%
proverbs_001_ah.txt,98,19,19.388%,95,23,24.211%,92,25,27.174%
proverbs_002_ah.txt,106,27,25.472%,101,29,28.713%,99,30,30.303%
sphere_001_ah.txt,161,38,23.602%,161,46,28.571%,161,54,33.54%
sphere_002_ah.txt,156,15,9.615%,155,27,17.419%,154,40,25.974%
supplication_001_ah.txt,327,81,24.771%,295,104,35.254%,265,144,54.34%
