File Name,Total Words (Basic),Total Similar Words (Basic),Basic Comparator Accuracy,Total Words (Generous),Total Similar Words (Generous),Generous Comparator Accuracy,Total Words (Dictionary),Total Similar Words (Dictionary),Dictionary Comparator
ova_tk.txt,199,61,30.653%,190,98,51.579%,181,103,56.906%
diplomatic_speeches_001_tk.txt,289,11,3.806%,240,24,10.0%,195,30,15.385%
diplomatic_speeches_002_tk.txt,219,4,1.826%,205,8,3.902%,192,13,6.771%
fpn_001_tk.txt,144,13,9.028%,144,16,11.111%,144,30,20.833%
fpn_002_tk.txt,173,34,19.653%,172,51,29.651%,172,67,38.953%
fpn_003_tk.txt,169,40,23.669%,169,65,38.462%,169,70,41.42%
fpn_004_tk.txt,165,5,3.03%,164,11,6.707%,164,42,25.61%
artofcooking_001_tk.txt,192,22,11.458%,188,44,23.404%,184,73,39.674%
artofcooking_002_tk.txt,211,12,5.687%,204,24,11.765%,197,86,43.655%
sj_001_tk.txt,290,33,11.379%,263,67,25.475%,238,77,32.353%
sj_002_tk.txt,230,6,2.609%,189,19,10.053%,152,33,21.711%
medici_tk.txt,124,0,0.0%,102,0,0.0%,80,58,72.5%
cvpv_001_tk.txt,163,28,17.178%,156,38,24.359%,152,49,32.237%
cvpv_002_tk.txt,70,6,8.571%,66,8,12.121%,62,10,16.129%
cvpv_003_tk.txt,153,14,9.15%,144,30,20.833%,136,35,25.735%
cvpv_004_tk.txt,147,13,8.844%,138,25,18.116%,132,33,25.0%
cvpv_005_tk.txt,147,30,20.408%,139,46,33.094%,132,50,37.879%
cvpv_006_tk.txt,167,15,8.982%,159,39,24.528%,152,49,32.237%
cvpv_007_tk.txt,153,11,7.19%,145,19,13.103%,137,42,30.657%
cvpv_008_tk.txt,33,8,24.242%,27,8,29.63%,22,8,36.364%
lof_001_tk.txt,83,9,10.843%,73,12,16.438%,68,14,20.588%
lof_002_tk.txt,97,14,14.433%,90,16,17.778%,84,19,22.619%
sacredpoems_001_tk.txt,120,9,7.5%,111,18,16.216%,104,24,23.077%
sacredpoems_002_tk.txt,120,1,0.833%,105,8,7.619%,90,17,18.889%
sacredpoems_003_tk.txt,129,30,23.256%,112,34,30.357%,96,35,36.458%
sacredpoems_004_tk.txt,122,4,3.279%,108,10,9.259%,95,27,28.421%
sacredpoems_005_tk.txt,121,17,14.05%,109,22,20.183%,97,25,25.773%
sacredpoems_006_tk.txt,124,23,18.548%,116,31,26.724%,109,33,30.275%
piacenzaparma_001_tk.txt,272,53,19.485%,271,63,23.247%,271,153,56.458%
piacenzaparma_002_tk.txt,289,109,37.716%,287,139,48.432%,285,161,56.491%
petrarch_001_tk.txt,154,8,5.195%,152,15,9.868%,151,29,19.205%
petrarch_002_tk.txt,221,38,17.195%,204,53,25.98%,190,60,31.579%
petrarch_003_tk.txt,244,46,18.852%,231,76,32.9%,223,93,41.704%
philsoul_001_tk.txt,261,16,6.13%,237,27,11.392%,216,43,19.907%
philsoul_002_tk.txt,284,0,0.0%,268,4,1.493%,253,31,12.253%
lutebook_001_tk.txt,159,95,59.748%,154,103,66.883%,149,103,69.128%
lutebook_002_tk.txt,422,18,4.265%,362,41,11.326%,307,182,59.283%
lutebook_003_tk.txt,399,67,16.792%,342,143,41.813%,289,169,58.478%
113r_tk.txt,235,0,0.0%,235,0,0.0%,235,21,8.936%
113v_tk.txt,212,0,0.0%,212,0,0.0%,212,16,7.547%
114r_tk.txt,249,0,0.0%,249,0,0.0%,249,24,9.639%
114v_tk.txt,120,0,0.0%,120,0,0.0%,120,12,10.0%
ethics_001_tk.txt,155,9,5.806%,152,18,11.842%,149,34,22.819%
ethics_002_tk.txt,142,11,7.746%,126,17,13.492%,111,28,25.225%
loredano_001_tk.txt,187,44,23.529%,165,58,35.152%,144,69,47.917%
proverbs_001_tk.txt,98,18,18.367%,95,20,21.053%,92,22,23.913%
proverbs_002_tk.txt,106,18,16.981%,101,22,21.782%,99,29,29.293%
sphere_001_tk.txt,161,26,16.149%,161,36,22.36%,161,53,32.919%
sphere_002_tk.txt,156,9,5.769%,155,18,11.613%,154,38,24.675%
supplication_001_tk.txt,327,104,31.804%,295,107,36.271%,265,148,55.849%
