File Name,Total Words (Basic),Total Similar Words (Basic),Basic Comparator Accuracy,Total Words (Generous),Total Similar Words (Generous),Generous Comparator Accuracy,Total Words (Dictionary),Total Similar Words (Dictionary),Dictionary Comparator
ova_tkgpt.txt,199,80,40.201%,190,102,53.684%,181,101,55.801%
diplomatic_speeches_001_tkgpt.txt,289,29,10.035%,240,45,18.75%,195,56,28.718%
diplomatic_speeches_002_tkgpt.txt,219,4,1.826%,205,9,4.39%,192,31,16.146%
fpn_001_tkgpt.txt,144,16,11.111%,144,20,13.889%,144,87,60.417%
fpn_002_tkgpt.txt,173,63,36.416%,172,84,48.837%,172,110,63.953%
fpn_003_tkgpt.txt,169,54,31.953%,169,85,50.296%,169,101,59.763%
fpn_004_tkgpt.txt,165,0,0.0%,164,0,0.0%,164,63,38.415%
artofcooking_001_tkgpt.txt,192,73,38.021%,188,88,46.809%,184,141,76.63%
artofcooking_002_tkgpt.txt,211,1,0.474%,204,3,1.471%,197,62,31.472%
sj_001_tkgpt.txt,290,67,23.103%,263,106,40.304%,238,136,57.143%
sj_002_tkgpt.txt,230,2,0.87%,189,2,1.058%,152,57,37.5%
medici_tkgpt.txt,124,1,0.806%,102,1,0.98%,80,54,67.5%
cvpv_001_tkgpt.txt,163,41,25.153%,156,71,45.513%,152,87,57.237%
cvpv_002_tkgpt.txt,70,0,0.0%,66,0,0.0%,62,22,35.484%
cvpv_003_tkgpt.txt,153,39,25.49%,144,59,40.972%,136,59,43.382%
cvpv_004_tkgpt.txt,147,36,24.49%,138,48,34.783%,132,54,40.909%
cvpv_005_tkgpt.txt,147,44,29.932%,139,64,46.043%,132,71,53.788%
cvpv_006_tkgpt.txt,167,26,15.569%,159,49,30.818%,152,65,42.763%
cvpv_007_tkgpt.txt,153,13,8.497%,145,24,16.552%,137,51,37.226%
cvpv_008_tkgpt.txt,33,7,21.212%,27,12,44.444%,22,12,54.545%
lof_001_tkgpt.txt,83,16,19.277%,73,21,28.767%,68,26,38.235%
lof_002_tkgpt.txt,97,27,27.835%,90,32,35.556%,84,35,41.667%
sacredpoems_001_tkgpt.txt,120,45,37.5%,111,54,48.649%,104,58,55.769%
sacredpoems_002_tkgpt.txt,120,29,24.167%,105,34,32.381%,90,48,53.333%
sacredpoems_003_tkgpt.txt,129,53,41.085%,112,58,51.786%,96,58,60.417%
sacredpoems_004_tkgpt.txt,122,13,10.656%,108,19,17.593%,95,73,76.842%
sacredpoems_005_tkgpt.txt,121,55,45.455%,109,62,56.881%,97,60,61.856%
sacredpoems_006_tkgpt.txt,124,37,29.839%,116,45,38.793%,109,51,46.789%
piacenzaparma_001_tkgpt.txt,272,7,2.574%,271,10,3.69%,271,74,27.306%
piacenzaparma_002_tkgpt.txt,289,24,8.304%,287,36,12.544%,285,179,62.807%
petrarch_001_tkgpt.txt,154,2,1.299%,152,7,4.605%,151,31,20.53%
petrarch_002_tkgpt.txt,221,69,31.222%,204,86,42.157%,190,92,48.421%
petrarch_003_tkgpt.txt,244,11,4.508%,231,21,9.091%,223,28,12.556%
philsoul_001_tkgpt.txt,261,2,0.766%,237,2,0.844%,216,10,4.63%
philsoul_002_tkgpt.txt,284,0,0.0%,268,1,0.373%,253,21,8.3%
lutebook_001_tkgpt.txt,159,11,6.918%,154,11,7.143%,149,108,72.483%
lutebook_002_tkgpt.txt,422,24,5.687%,362,37,10.221%,307,159,51.792%
lutebook_003_tkgpt.txt,399,77,19.298%,342,102,29.825%,289,151,52.249%
113r_tkgpt.txt,235,0,0.0%,235,2,0.851%,235,52,22.128%
113v_tkgpt.txt,212,0,0.0%,212,0,0.0%,212,29,13.679%
114r_tkgpt.txt,249,1,0.402%,249,1,0.402%,249,52,20.884%
114v_tkgpt.txt,120,2,1.667%,120,2,1.667%,120,26,21.667%
ethics_001_tkgpt.txt,155,35,22.581%,152,55,36.184%,149,73,48.993%
ethics_002_tkgpt.txt,142,25,17.606%,126,54,42.857%,111,61,54.955%
loredano_001_tkgpt.txt,187,12,6.417%,165,30,18.182%,144,46,31.944%
proverbs_001_tkgpt.txt,98,23,23.469%,95,26,27.368%,92,36,39.13%
proverbs_002_tkgpt.txt,106,21,19.811%,101,22,21.782%,99,31,31.313%
sphere_001_tkgpt.txt,161,38,23.602%,161,57,35.404%,161,69,42.857%
sphere_002_tkgpt.txt,156,0,0.0%,155,2,1.29%,154,35,22.727%
supplication_001_tkgpt.txt,327,6,1.835%,295,6,2.034%,265,167,63.019%
